[05:57:40] [INFO] received Windows console close event; shutting log-core down
[06:40:51] [INFO] received Windows console close event; shutting log-core down
[21:52:04] [INFO] received Windows console close event; shutting log-core down
[21:52:46] [INFO] received Windows console close event; shutting log-core down
[21:53:24] [INFO] received Windows console close event; shutting log-core down
[21:53:54] [INFO] received Windows console close event; shutting log-core down
[21:54:24] [INFO] received Windows console close event; shutting log-core down
[21:54:54] [INFO] received Windows console close event; shutting log-core down
[21:54:59] [INFO] received Windows console close event; shutting log-core down
[21:55:40] [INFO] received Windows console close event; shutting log-core down
[21:57:30] [INFO] received Windows console close event; shutting log-core down
[22:02:43] [INFO] received Windows console close event; shutting log-core down
[22:04:10] [INFO] received Windows console close event; shutting log-core down
[22:05:11] [INFO] received Windows console close event; shutting log-core down
[22:05:41] [INFO] received Windows console close event; shutting log-core down
[22:10:37] [INFO] received Windows console close event; shutting log-core down
[22:11:00] [INFO] received Windows console close event; shutting log-core down
[22:11:56] [INFO] received Windows console close event; shutting log-core down
[22:26:07] [INFO] received Windows console close event; shutting log-core down
[22:37:11] [INFO] received Windows console close event; shutting log-core down
[22:40:33] [INFO] received Windows console close event; shutting log-core down
[22:40:46] [INFO] received Windows console close event; shutting log-core down
[22:43:39] [INFO] received Windows console close event; shutting log-core down
[22:49:47] [INFO] received Windows console close event; shutting log-core down
[06:59:21] [INFO] received Windows console close event; shutting log-core down
[06:59:35] [INFO] received Windows console close event; shutting log-core down
[07:00:17] [INFO] received Windows console close event; shutting log-core down
[07:01:03] [INFO] received Windows console close event; shutting log-core down
[07:01:29] [INFO] received Windows console close event; shutting log-core down
[07:02:38] [INFO] received Windows console close event; shutting log-core down
[07:04:38] [INFO] received Windows console close event; shutting log-core down
[07:05:14] [INFO] received Windows console close event; shutting log-core down
[07:05:49] [INFO] received Windows console close event; shutting log-core down
[07:09:43] [INFO] received Windows console close event; shutting log-core down
[07:13:11] [INFO] received Windows console close event; shutting log-core down
[07:14:26] [INFO] received Windows console close event; shutting log-core down
[07:36:19] [INFO] received Windows console close event; shutting log-core down
[07:43:46] [INFO] received Windows console close event; shutting log-core down
[07:45:50] [INFO] received Windows console close event; shutting log-core down
[07:47:16] [INFO] received Windows console close event; shutting log-core down
[07:49:39] [INFO] received Windows console close event; shutting log-core down
[07:50:18] [INFO] received Windows console close event; shutting log-core down
[17:41:08] [INFO] received Windows console close event; shutting log-core down
[17:43:22] [INFO] received Windows console close event; shutting log-core down
[17:44:55] [INFO] received Windows console close event; shutting log-core down
[00:13:19] [INFO] received Windows console close event; shutting log-core down
[00:31:14] [INFO] received Windows console close event; shutting log-core down
[00:31:15] [INFO] received Windows console close event; shutting log-core down
[00:36:52] [INFO] received Windows console close event; shutting log-core down
[00:39:16] [INFO] received Windows console close event; shutting log-core down
[00:42:05] [INFO] received Windows console close event; shutting log-core down
[00:43:18] [INFO] received Windows console close event; shutting log-core down
[00:51:25] [INFO] received Windows console close event; shutting log-core down
[00:52:31] [INFO] received Windows console close event; shutting log-core down
[00:55:16] [INFO] received Windows console close event; shutting log-core down
[01:00:59] [INFO] received Windows console close event; shutting log-core down
[04:07:01] [INFO] received Windows console close event; shutting log-core down
[04:08:41] [INFO] received Windows console close event; shutting log-core down
[14:53:32] [INFO] received Windows console close event; shutting log-core down
[14:57:07] [INFO] received Windows console close event; shutting log-core down
[15:09:18] [INFO] received Windows console close event; shutting log-core down
[15:11:38] [INFO] received Windows console close event; shutting log-core down
[16:15:45] [INFO] received Windows console close event; shutting log-core down
[16:42:24] [INFO] received Windows console close event; shutting log-core down
[08:05:45] [INFO] received Windows console close event; shutting log-core down
[08:10:47] [INFO] received Windows console close event; shutting log-core down
[08:14:39] [INFO] received Windows console close event; shutting log-core down
[09:58:28] [INFO] received Windows console close event; shutting log-core down
[09:58:30] [INFO] received Windows console close event; shutting log-core down
[23:39:12] [INFO] received Windows console close event; shutting log-core down
[23:44:58] [INFO] received Windows console close event; shutting log-core down
[23:49:28] [INFO] received Windows console close event; shutting log-core down
[23:49:52] [INFO] received Windows console close event; shutting log-core down
[23:56:41] [INFO] received Windows console close event; shutting log-core down
[23:58:34] [INFO] received Windows console close event; shutting log-core down
[00:06:52] [INFO] received Windows console close event; shutting log-core down
[00:13:33] [INFO] received Windows console close event; shutting log-core down
[00:16:41] [INFO] received Windows console close event; shutting log-core down
[00:23:21] [INFO] received Windows console close event; shutting log-core down
[16:28:31] [INFO] received Windows console close event; shutting log-core down
[16:39:59] [INFO] received Windows console close event; shutting log-core down
[16:50:27] [INFO] received Windows console close event; shutting log-core down
[17:04:01] [INFO] received Windows console close event; shutting log-core down
[17:11:13] [INFO] received Windows console close event; shutting log-core down
[17:11:59] [INFO] received Windows console close event; shutting log-core down
[17:17:33] [INFO] received Windows console close event; shutting log-core down
[17:20:55] [INFO] received Windows console close event; shutting log-core down
[11:11:58] [INFO] received Windows console close event; shutting log-core down
[11:15:27] [INFO] received Windows console close event; shutting log-core down
[11:18:21] [INFO] received Windows console close event; shutting log-core down
[11:18:53] [INFO] received Windows console close event; shutting log-core down
[11:30:20] [INFO] received Windows console close event; shutting log-core down
[11:35:49] [INFO] received Windows console close event; shutting log-core down
[11:36:24] [INFO] received Windows console close event; shutting log-core down
[17:03:26] [INFO] received Windows console close event; shutting log-core down
[17:16:04] [INFO] received Windows console close event; shutting log-core down
[17:20:00] [INFO] received Windows console close event; shutting log-core down
[17:30:06] [INFO] received Windows console close event; shutting log-core down
[17:34:06] [INFO] received Windows console close event; shutting log-core down
[17:36:47] [INFO] received Windows console close event; shutting log-core down
[22:34:07] [INFO] received Windows console close event; shutting log-core down
[23:05:21] [INFO] received Windows console close event; shutting log-core down
[23:07:26] [INFO] received Windows console close event; shutting log-core down
[14:24:09] [INFO] received Windows console close event; shutting log-core down
[14:57:44] [INFO] received Windows console close event; shutting log-core down
[15:05:11] [INFO] received Windows console close event; shutting log-core down
[15:05:54] [INFO] received Windows console close event; shutting log-core down
[15:08:03] [INFO] received Windows console close event; shutting log-core down
[15:14:16] [INFO] received Windows console close event; shutting log-core down
[15:15:04] [INFO] received Windows console close event; shutting log-core down
[15:17:28] [INFO] received Windows console close event; shutting log-core down
[15:22:31] [INFO] received Windows console close event; shutting log-core down
[15:31:25] [INFO] received Windows console close event; shutting log-core down
[15:35:38] [INFO] received Windows console close event; shutting log-core down
[15:41:32] [INFO] received Windows console close event; shutting log-core down
[15:44:11] [INFO] received Windows console close event; shutting log-core down
[18:42:03] [INFO] received Windows console close event; shutting log-core down
[16:16:55] [INFO] received Windows console close event; shutting log-core down
[16:17:37] [INFO] received Windows console close event; shutting log-core down
[16:31:37] [INFO] received Windows console close event; shutting log-core down
[16:32:59] [INFO] received Windows console close event; shutting log-core down
[10:34:56] [INFO] received Windows console close event; shutting log-core down
[10:37:51] [INFO] received Windows console close event; shutting log-core down
[10:38:35] [INFO] received Windows console close event; shutting log-core down
[10:43:25] [INFO] received Windows console close event; shutting log-core down
[10:46:17] [INFO] received Windows console close event; shutting log-core down
[10:48:48] [INFO] received Windows console close event; shutting log-core down
[10:51:05] [INFO] received Windows console close event; shutting log-core down
[10:52:49] [INFO] received Windows console close event; shutting log-core down
[10:55:08] [INFO] received Windows console close event; shutting log-core down
[10:55:36] [INFO] received Windows console close event; shutting log-core down
[10:57:30] [INFO] received Windows console close event; shutting log-core down
[10:58:16] [INFO] received Windows console close event; shutting log-core down
[11:03:56] [INFO] received Windows console close event; shutting log-core down
[11:40:10] [INFO] received Windows console close event; shutting log-core down
[14:43:04] [INFO] received Windows console close event; shutting log-core down
[14:44:05] [INFO] received Windows console close event; shutting log-core down
[14:47:47] [INFO] received Windows console close event; shutting log-core down
[14:52:09] [INFO] received Windows console close event; shutting log-core down
[14:55:09] [INFO] received Windows console close event; shutting log-core down
[15:06:02] [INFO] received Windows console close event; shutting log-core down
[15:13:05] [INFO] received Windows console close event; shutting log-core down
[15:14:10] [INFO] received Windows console close event; shutting log-core down
[15:17:08] [INFO] received Windows console close event; shutting log-core down
[15:35:10] [INFO] received Windows console close event; shutting log-core down
[15:49:54] [INFO] received Windows console close event; shutting log-core down
[15:53:07] [INFO] received Windows console close event; shutting log-core down
[15:55:05] [INFO] received Windows console close event; shutting log-core down
[19:02:27] [INFO] received Windows console close event; shutting log-core down
[19:05:59] [INFO] received Windows console close event; shutting log-core down
[19:12:18] [INFO] received Windows console close event; shutting log-core down
[19:17:43] [INFO] received Windows console close event; shutting log-core down
[19:19:29] [INFO] received Windows console close event; shutting log-core down
[11:09:46] [INFO] received Windows console close event; shutting log-core down
[11:44:33] [INFO] received Windows console close event; shutting log-core down
[11:47:20] [INFO] received Windows console close event; shutting log-core down
[21:23:01] [INFO] received Windows console close event; shutting log-core down
[22:40:25] [INFO] received Windows console close event; shutting log-core down
[22:45:18] [INFO] received Windows console close event; shutting log-core down
[22:46:40] [INFO] received Windows console close event; shutting log-core down
[00:04:30] [INFO] received Windows console close event; shutting log-core down
[00:07:22] [INFO] received Windows console close event; shutting log-core down
[00:20:41] [INFO] received Windows console close event; shutting log-core down
[00:25:01] [INFO] received Windows console close event; shutting log-core down
[00:27:05] [INFO] received Windows console close event; shutting log-core down
[00:35:35] [INFO] received Windows console close event; shutting log-core down
[00:39:44] [INFO] received Windows console close event; shutting log-core down
[00:43:28] [INFO] received Windows console close event; shutting log-core down
[01:00:27] [INFO] received Windows console close event; shutting log-core down
[01:02:11] [INFO] received Windows console close event; shutting log-core down
[01:03:19] [INFO] received Windows console close event; shutting log-core down
[01:05:19] [INFO] received Windows console close event; shutting log-core down
[01:05:24] [INFO] received Windows console close event; shutting log-core down
[01:24:05] [INFO] received Windows console close event; shutting log-core down
[01:27:13] [INFO] received Windows console close event; shutting log-core down
[01:29:25] [INFO] received Windows console close event; shutting log-core down
[14:17:30] [INFO] received Windows console close event; shutting log-core down
[12:28:24] [INFO] received Windows console close event; shutting log-core down
[12:28:27] [INFO] received Windows console close event; shutting log-core down
[12:46:01] [INFO] received Windows console close event; shutting log-core down
[12:46:42] [INFO] received Windows console close event; shutting log-core down
[12:54:47] [INFO] received Windows console close event; shutting log-core down
[13:01:32] [INFO] received Windows console close event; shutting log-core down
[13:04:01] [INFO] received Windows console close event; shutting log-core down
[13:05:25] [INFO] received Windows console close event; shutting log-core down
[13:21:09] [INFO] received Windows console close event; shutting log-core down
[13:59:36] [INFO] received Windows console close event; shutting log-core down
[14:02:43] [INFO] received Windows console close event; shutting log-core down
[14:08:51] [INFO] received Windows console close event; shutting log-core down
[10:55:37] [INFO] received Windows console close event; shutting log-core down
[11:05:55] [INFO] received Windows console close event; shutting log-core down
[11:09:02] [INFO] received Windows console close event; shutting log-core down
[12:02:56] [INFO] received Windows console close event; shutting log-core down
[12:10:25] [INFO] received Windows console close event; shutting log-core down
[12:10:30] [INFO] received Windows console close event; shutting log-core down
[12:12:51] [INFO] received Windows console close event; shutting log-core down
[12:20:12] [INFO] received Windows console close event; shutting log-core down
[15:13:25] [INFO] received Windows console close event; shutting log-core down
[15:17:48] [INFO] received Windows console close event; shutting log-core down
[15:40:06] [INFO] received Windows console close event; shutting log-core down
[16:17:40] [INFO] received Windows console close event; shutting log-core down
[16:21:51] [INFO] received Windows console close event; shutting log-core down
[16:26:08] [INFO] received Windows console close event; shutting log-core down
[16:29:11] [INFO] received Windows console close event; shutting log-core down
[16:29:24] [INFO] received Windows console close event; shutting log-core down
[16:31:28] [INFO] received Windows console close event; shutting log-core down
[16:33:48] [INFO] received Windows console close event; shutting log-core down
[16:33:53] [INFO] received Windows console close event; shutting log-core down
[16:37:16] [INFO] received Windows console close event; shutting log-core down
[17:00:40] [INFO] received Windows console close event; shutting log-core down
